negative  	{'BIGRAM_hate_https': 0.5, 'TRIGRAM_hate_https_//t.co/8jq411twqn': 0.5, 'UNI_//t.co/8jq411twqn': 0.5, 'TRIGRAM_nvm_hate_https': 0.5, 'BIGRAM_nvm_hate': 0.5, 'UNI_hate': 0.5, 'UNI_https': 0.5, 'UNI_nvm': 0.5, 'BIGRAM_https_//t.co/8jq411twqn': 0.5}
negative  	{'UNI_hate': 0.5}
negative  	{'TRIGRAM_free_fall_insanity': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_rt_ten_gop_left': 0.5, 'UNI_insults': 0.5, 'UNI_constructive': 0.5, 'BIGRAM_free_fall': 0.5, 'UNI_fall': 0.5, 'BIGRAM_arguments_insults': 0.5, 'BIGRAM_insults_hate': 0.5, 'BIGRAM_rapid_free': 0.5, 'UNI_ten_gop': 0.5, 'TRIGRAM_rapid_free_fall': 0.5, 'TRIGRAM_insanity_constructive_arguments': 0.5, 'BIGRAM_rt_ten_gop': 0.5, 'UNI_free': 0.5, 'BIGRAM_fall_insanity': 0.5, 'TRIGRAM_ten_gop_left_rapid': 0.5, 'BIGRAM_constructive_arguments': 0.5, 'UNI_left': 0.5, 'BIGRAM_insanity_constructive': 0.5, 'BIGRAM_ten_gop_left': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_fall_insanity_constructive': 0.5, 'UNI_rapid': 0.5, 'TRIGRAM_constructive_arguments_insults': 0.5, 'TRIGRAM_left_rapid_free': 0.5, 'UNI_arguments': 0.5, 'UNI_insanity': 0.5, 'TRIGRAM_arguments_insults_hate': 0.5, 'BIGRAM_left_rapid': 0.5}
negative  	{'BIGRAM_https_//t.co/c1l5od1mnh': 0.5, 'UNI_//t.co/c1l5od1mnh': 0.5, 'UNI_https': 0.5}
negative  	{'BIGRAM_hate_relationship': 0.5, 'UNI_rt': 0.5, 'BIGRAM_siarah__cable': 0.5, 'TRIGRAM_cable_days_love': 0.5, 'TRIGRAM_days_love_hate': 0.5, 'TRIGRAM_siarah__cable_days': 0.5, 'TRIGRAM_shit_https_//t.co/mugmkc9vkz': 0.5, 'UNI_https': 0.5, 'UNI_shit': 0.5, 'TRIGRAM_rt_siarah__cable': 0.5, 'UNI_relationship': 0.5, 'UNI_//t.co/mugmkc9vkz': 0.5, 'BIGRAM_https_//t.co/mugmkc9vkz': 0.5, 'BIGRAM_shit_https': 0.5, 'BIGRAM_days_love': 0.5, 'UNI_cable': 0.5, 'TRIGRAM_hate_relationship_shit': 0.5, 'BIGRAM_cable_days': 0.5, 'BIGRAM_relationship_shit': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_relationship_shit_https': 0.5, 'BIGRAM_love_hate': 0.5, 'TRIGRAM_love_hate_relationship': 0.5, 'UNI_siarah_': 0.5, 'UNI_love': 0.5, 'BIGRAM_rt_siarah_': 0.5, 'UNI_days': 0.5}
negative  	{'BIGRAM_‼️soon_coming': 0.5, 'UNI_spinrilla': 0.5, 'BIGRAM_7200_rr': 0.5, 'TRIGRAM_hate_wit_brudda': 0.5, 'BIGRAM_realmoneypedro_love': 0.5, 'TRIGRAM_coming_spinrilla_mixtapes': 0.5, 'TRIGRAM_rt_realmoneypedro_love': 0.5, 'UNI_brudda': 0.5, 'BIGRAM_hate_wit': 0.5, 'BIGRAM_coming_spinrilla': 0.5, 'UNI_4eva_gettin_it': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_love_hate_wit': 0.5, 'TRIGRAM_realmoneypedro_love_hate': 0.5, 'UNI_love': 0.5, 'BIGRAM_wit_brudda': 0.5, 'BIGRAM_rt_realmoneypedro': 0.5, 'TRIGRAM_4eva_gettin_it_‼️soon_coming': 0.5, 'BIGRAM_mixtapes_7200': 0.5, 'TRIGRAM_spinrilla_mixtapes_7200': 0.5, 'UNI_rt': 0.5, 'UNI_7200': 0.5, 'TRIGRAM_‼️soon_coming_spinrilla': 0.5, 'UNI_rr': 0.5, 'TRIGRAM_brudda_4eva_gettin_it_‼️soon': 0.5, 'UNI_‼️soon': 0.5, 'UNI_mixtapes': 0.5, 'TRIGRAM_mixtapes_7200_rr': 0.5, 'TRIGRAM_7200_rr_4gn…': 0.5, 'BIGRAM_rr_4gn…': 0.5, 'TRIGRAM_wit_brudda_4eva_gettin_it': 0.5, 'BIGRAM_4eva_gettin_it_‼️soon': 0.5, 'BIGRAM_brudda_4eva_gettin_it': 0.5, 'BIGRAM_spinrilla_mixtapes': 0.5, 'BIGRAM_love_hate': 0.5, 'UNI_4gn…': 0.5, 'UNI_coming': 0.5, 'UNI_wit': 0.5, 'UNI_realmoneypedro': 0.5}
negative  	{'UNI_create…': 0.5, "TRIGRAM_police_n't_sort": 0.5, 'BIGRAM_times_government': 0.5, 'BIGRAM_many_times': 0.5, "TRIGRAM_government_police_n't": 0.5, 'TRIGRAM_times_government_police': 0.5, 'BIGRAM_im_justifying': 0.5, "BIGRAM_police_n't": 0.5, 'TRIGRAM_said_many_times': 0.5, 'UNI_sort': 0.5, "BIGRAM_justifying_'ve": 0.5, 'TRIGRAM_many_times_government': 0.5, "TRIGRAM_im_justifying_'ve": 0.5, "UNI_'ve": 0.5, 'UNI_trobinsonnewera': 0.5, "TRIGRAM_'ve_said_many": 0.5, 'UNI_said': 0.5, 'UNI_im': 0.5, 'BIGRAM_trobinsonnewera_im': 0.5, 'BIGRAM_hate_create…': 0.5, 'UNI_centres': 0.5, "BIGRAM_'ve_said": 0.5, 'UNI_rt': 0.5, 'UNI_government': 0.5, 'UNI_many': 0.5, 'BIGRAM_government_police': 0.5, "TRIGRAM_justifying_'ve_said": 0.5, 'BIGRAM_rt_trobinsonnewera': 0.5, 'TRIGRAM_sort_centres_hate': 0.5, "TRIGRAM_n't_sort_centres": 0.5, 'UNI_times': 0.5, 'BIGRAM_centres_hate': 0.5, 'TRIGRAM_centres_hate_create…': 0.5, 'BIGRAM_said_many': 0.5, 'UNI_police': 0.5, "BIGRAM_n't_sort": 0.5, "UNI_n't": 0.5, 'TRIGRAM_rt_trobinsonnewera_im': 0.5, 'UNI_hate': 0.5, 'UNI_justifying': 0.5, 'TRIGRAM_trobinsonnewera_im_justifying': 0.5, 'BIGRAM_sort_centres': 0.5}
negative  	{'UNI_rt': 0.5, 'BIGRAM_follow_lauraloomer': 0.5, 'UNI_follow': 0.5, 'TRIGRAM_happening_follow_lauraloomer': 0.5, 'TRIGRAM_lauraloomer_https_//t.co/ntf1g5zduq': 0.5, 'BIGRAM_lot_happening': 0.5, 'UNI_lauraloomer': 0.5, 'TRIGRAM_lot_happening_follow': 0.5, 'BIGRAM_seanhannity_lot': 0.5, 'UNI_https': 0.5, 'BIGRAM_lauraloomer_https': 0.5, 'UNI_//t.co/ntf1g5zduq': 0.5, 'UNI_happening': 0.5, 'UNI_seanhannity': 0.5, 'TRIGRAM_follow_lauraloomer_https': 0.5, 'BIGRAM_https_//t.co/ntf1g5zduq': 0.5, 'BIGRAM_rt_seanhannity': 0.5, 'TRIGRAM_seanhannity_lot_happening': 0.5, 'TRIGRAM_rt_seanhannity_lot': 0.5, 'UNI_lot': 0.5, 'BIGRAM_happening_follow': 0.5}
negative  	{'UNI_actually': 0.5, "BIGRAM_trobinsonnewera_'d": 0.5, 'BIGRAM_actually_incite': 0.5, 'UNI_idiot': 0.5, 'BIGRAM_incite_hate': 0.5, 'TRIGRAM_incite_hate_u': 0.5, 'BIGRAM_https_//t.co/ewh5jnopb8': 0.5, 'BIGRAM_hate_u': 0.5, "TRIGRAM_'d_actually_incite": 0.5, 'UNI_u': 0.5, 'TRIGRAM_actually_incite_hate': 0.5, 'UNI_facts': 0.5, 'UNI_rt': 0.5, 'BIGRAM_idiot_facts': 0.5, 'BIGRAM_facts_hate': 0.5, "UNI_'d": 0.5, "TRIGRAM_trobinsonnewera_'d_actually": 0.5, 'TRIGRAM_hate_https_//t.co/ewh5jnopb8': 0.5, "TRIGRAM_rt_trobinsonnewera_'d": 0.5, "BIGRAM_'d_actually": 0.5, 'UNI_https': 0.5, 'BIGRAM_rt_trobinsonnewera': 0.5, 'UNI_incite': 0.5, 'BIGRAM_hate_https': 0.5, 'TRIGRAM_idiot_facts_hate': 0.5, 'UNI_trobinsonnewera': 0.5, 'UNI_hate': 0.5, 'BIGRAM_u_idiot': 0.5, 'UNI_//t.co/ewh5jnopb8': 0.5, 'TRIGRAM_facts_hate_https': 0.5, 'TRIGRAM_u_idiot_facts': 0.5, 'TRIGRAM_hate_u_idiot': 0.5}
negative  	{'UNI_ladder': 0.5, 'BIGRAM_endings_ppv': 0.5, 'UNI_endings': 0.5, 'BIGRAM_complaining_mitb': 0.5, 'BIGRAM_ending_hate': 0.5, 'TRIGRAM_countout_endings_ppv': 0.5, 'TRIGRAM_ending_hate_countout': 0.5, 'UNI_match': 0.5, 'BIGRAM_people_complaining': 0.5, 'UNI_countout': 0.5, 'UNI_ppv': 0.5, 'UNI_ending': 0.5, 'BIGRAM_match_ending': 0.5, 'TRIGRAM_ladder_match_ending': 0.5, 'UNI_mitb': 0.5, 'BIGRAM_countout_endings': 0.5, 'BIGRAM_ppv_mitb': 0.5, 'TRIGRAM_people_complaining_mitb': 0.5, 'TRIGRAM_complaining_mitb_ladder': 0.5, 'UNI_complaining': 0.5, 'BIGRAM_ladder_match': 0.5, 'UNI_people': 0.5, 'TRIGRAM_endings_ppv_mitb': 0.5, 'BIGRAM_hate_countout': 0.5, 'TRIGRAM_mitb_ladder_match': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_hate_countout_endings': 0.5, 'BIGRAM_mitb_ladder': 0.5, 'TRIGRAM_match_ending_hate': 0.5}
negative  	{'TRIGRAM_easily_go_happy': 0.5, 'UNI_rt': 0.5, 'UNI_easily': 0.5, 'UNI_sad': 0.5, 'TRIGRAM_hate_easily_go': 0.5, 'TRIGRAM_go_happy_sad': 0.5, 'BIGRAM_go_happy': 0.5, 'UNI_go': 0.5, 'BIGRAM_hate_easily': 0.5, 'UNI_poeticallyiost': 0.5, 'BIGRAM_rt_poeticallyiost': 0.5, 'BIGRAM_poeticallyiost_hate': 0.5, 'BIGRAM_happy_sad': 0.5, 'BIGRAM_easily_go': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_rt_poeticallyiost_hate': 0.5, 'UNI_happy': 0.5, 'TRIGRAM_poeticallyiost_hate_easily': 0.5}
negative  	{'BIGRAM_rt_manny92tony': 0.5, 'UNI_shitty': 0.5, 'BIGRAM_back_back': 0.5, 'BIGRAM_right_two': 0.5, 'UNI_would': 0.5, 'BIGRAM_would_hate': 0.5, 'TRIGRAM_rt_manny92tony_would': 0.5, 'TRIGRAM_back_back_shitty': 0.5, 'UNI_mitb': 0.5, 'UNI_ending': 0.5, 'BIGRAM_manny92tony_would': 0.5, 'TRIGRAM_mitb_right_two': 0.5, 'TRIGRAM_hate_mitb_right': 0.5, 'TRIGRAM_manny92tony_would_hate': 0.5, 'BIGRAM_shitty_ending': 0.5, 'TRIGRAM_back_shitty_ending': 0.5, 'BIGRAM_ending_match': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_two_back_back': 0.5, 'TRIGRAM_would_hate_mitb': 0.5, 'TRIGRAM_right_two_back': 0.5, 'UNI_back': 0.5, 'UNI_two': 0.5, 'BIGRAM_two_back': 0.5, 'UNI_manny92tony': 0.5, 'UNI_match': 0.5, 'BIGRAM_mitb_right': 0.5, 'UNI_right': 0.5, 'BIGRAM_back_shitty': 0.5, 'BIGRAM_hate_mitb': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_shitty_ending_match': 0.5}
negative  	{'UNI_rt': 0.5, 'BIGRAM_vantablvck_b': 0.5, 'TRIGRAM_rt_vantablvck_b': 0.5, 'UNI_b': 0.5, 'BIGRAM_rt_vantablvck': 0.5, 'UNI_happy': 0.5, 'BIGRAM_b_happy': 0.5, 'TRIGRAM_vantablvck_b_happy': 0.5, 'UNI_vantablvck': 0.5}
negative  	{'UNI_hate': 0.5}
negative  	{'BIGRAM_dude_matches': 0.5, 'TRIGRAM_lawradio_dude_matches': 0.5, 'BIGRAM_good_want': 0.5, 'UNI_dont': 0.5, 'BIGRAM_sd_dont': 0.5, 'UNI_lawradio': 0.5, 'BIGRAM_matches_really': 0.5, 'UNI_watch': 0.5, 'UNI_want': 0.5, 'TRIGRAM_good_want_watch': 0.5, 'TRIGRAM_matches_really_good': 0.5, 'UNI_sd': 0.5, 'BIGRAM_want_watch': 0.5, 'BIGRAM_really_good': 0.5, 'TRIGRAM_really_good_want': 0.5, 'BIGRAM_watch_sd': 0.5, 'TRIGRAM_sd_dont_hate': 0.5, 'UNI_matches': 0.5, 'TRIGRAM_dude_matches_really': 0.5, 'TRIGRAM_watch_sd_dont': 0.5, 'UNI_hate': 0.5, 'BIGRAM_dont_hate': 0.5, 'UNI_really': 0.5, 'TRIGRAM_want_watch_sd': 0.5, 'BIGRAM_lawradio_dude': 0.5, 'UNI_good': 0.5, 'UNI_dude': 0.5}
negative  	{'UNI_5': 0.5, "TRIGRAM_hate_alzheimer_'s": 0.5, 'UNI_//t.co/mhv37zfry3': 0.5, 'TRIGRAM_today_celebrating_dad': 0.5, "UNI_'s": 0.5, 'BIGRAM_hate_alzheimer': 0.5, 'TRIGRAM_birthday_hate_alzheimer': 0.5, 'UNI_dad': 0.5, 'UNI_alzheimer': 0.5, 'UNI_ago': 0.5, "TRIGRAM_'s_https_//t.co/mhv37zfry3": 0.5, 'BIGRAM_years_ago': 0.5, "TRIGRAM_dad_'s_birthday": 0.5, "BIGRAM_alzheimer_'s": 0.5, 'TRIGRAM_5_years_ago': 0.5, 'UNI_celebrating': 0.5, "BIGRAM_dad_'s": 0.5, 'BIGRAM_celebrating_dad': 0.5, "TRIGRAM_'s_birthday_hate": 0.5, 'BIGRAM_https_//t.co/mhv37zfry3': 0.5, 'UNI_https': 0.5, 'TRIGRAM_ago_today_celebrating': 0.5, "TRIGRAM_alzheimer_'s_https": 0.5, 'UNI_today': 0.5, 'BIGRAM_birthday_hate': 0.5, 'UNI_birthday': 0.5, 'BIGRAM_5_years': 0.5, 'TRIGRAM_years_ago_today': 0.5, 'UNI_hate': 0.5, 'UNI_years': 0.5, 'BIGRAM_today_celebrating': 0.5, "TRIGRAM_celebrating_dad_'s": 0.5, 'BIGRAM_ago_today': 0.5, "BIGRAM_'s_birthday": 0.5, "BIGRAM_'s_https": 0.5}
negative  	{'BIGRAM_https_//t.co/vt2gwoqoq2': 0.5, 'TRIGRAM_hate_hes_grinding': 0.5, 'UNI_https': 0.5, 'TRIGRAM_pregnant_congrats_welven': 0.5, 'BIGRAM_hate_hes': 0.5, 'TRIGRAM_welven_cant_even': 0.5, 'UNI_even': 0.5, 'BIGRAM_pregnant_congrats': 0.5, 'UNI_starrytoronto': 0.5, 'TRIGRAM_grinding_https_//t.co/vt2gwoqoq2': 0.5, 'TRIGRAM_wow_amber_rose': 0.5, 'TRIGRAM_amber_rose_pregnant': 0.5, 'TRIGRAM_cant_even_hate': 0.5, 'BIGRAM_rt_starrytoronto': 0.5, 'UNI_congrats': 0.5, 'BIGRAM_hes_grinding': 0.5, 'BIGRAM_cant_even': 0.5, 'TRIGRAM_starrytoronto_wow_amber': 0.5, 'UNI_hes': 0.5, 'BIGRAM_rose_pregnant': 0.5, 'UNI_rt': 0.5, 'UNI_cant': 0.5, 'BIGRAM_starrytoronto_wow': 0.5, 'UNI_welven': 0.5, 'BIGRAM_amber_rose': 0.5, 'UNI_grinding': 0.5, 'TRIGRAM_hes_grinding_https': 0.5, 'UNI_wow': 0.5, 'UNI_rose': 0.5, 'TRIGRAM_even_hate_hes': 0.5, 'UNI_//t.co/vt2gwoqoq2': 0.5, 'BIGRAM_grinding_https': 0.5, 'BIGRAM_welven_cant': 0.5, 'BIGRAM_even_hate': 0.5, 'UNI_pregnant': 0.5, 'TRIGRAM_rt_starrytoronto_wow': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_congrats_welven_cant': 0.5, 'TRIGRAM_rose_pregnant_congrats': 0.5, 'UNI_amber': 0.5, 'BIGRAM_congrats_welven': 0.5, 'BIGRAM_wow_amber': 0.5}
negative  	{'BIGRAM_jackposobiec_wonder': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_jackposobiec_wonder_filmed': 0.5, 'UNI_//t.co/x2lbun6mrw': 0.5, 'UNI_wonder': 0.5, 'UNI_jackposobiec': 0.5, 'TRIGRAM_wonder_filmed_https': 0.5, 'UNI_filmed': 0.5, 'BIGRAM_rt_jackposobiec': 0.5, 'BIGRAM_filmed_https': 0.5, 'UNI_https': 0.5, 'TRIGRAM_rt_jackposobiec_wonder': 0.5, 'BIGRAM_wonder_filmed': 0.5, 'BIGRAM_https_//t.co/x2lbun6mrw': 0.5, 'TRIGRAM_filmed_https_//t.co/x2lbun6mrw': 0.5}
negative  	{'UNI_man': 0.5, 'BIGRAM_much_harm': 0.5, 'BIGRAM_cause_much': 0.5, 'TRIGRAM_dangerously_narcissistic_man': 0.5, 'BIGRAM_hate_dangerously': 0.5, 'TRIGRAM_hate_trump_hate': 0.5, 'BIGRAM_hate_trump': 0.5, 'TRIGRAM_hate_dangerously_narcissistic': 0.5, 'TRIGRAM_much_harm_peo…': 0.5, 'UNI_position': 0.5, 'BIGRAM_harm_peo…': 0.5, 'UNI_much': 0.5, 'UNI_cause': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_position_cause_much': 0.5, 'TRIGRAM_cause_much_harm': 0.5, 'BIGRAM_dangerously_narcissistic': 0.5, "BIGRAM_im_theantitrump_n't": 0.5, "TRIGRAM_n't_hate_trump": 0.5, 'UNI_rt': 0.5, 'TRIGRAM_trump_hate_dangerously': 0.5, 'UNI_narcissistic': 0.5, 'UNI_trump': 0.5, 'BIGRAM_man_position': 0.5, 'BIGRAM_position_cause': 0.5, 'UNI_dangerously': 0.5, "TRIGRAM_im_theantitrump_n't_hate": 0.5, 'BIGRAM_rt_im_theantitrump': 0.5, 'UNI_peo…': 0.5, "TRIGRAM_rt_im_theantitrump_n't": 0.5, 'UNI_im_theantitrump': 0.5, "UNI_n't": 0.5, 'BIGRAM_trump_hate': 0.5, 'TRIGRAM_narcissistic_man_position': 0.5, 'BIGRAM_narcissistic_man': 0.5, 'TRIGRAM_man_position_cause': 0.5, 'UNI_harm': 0.5, "BIGRAM_n't_hate": 0.5}
negative  	{'TRIGRAM_hate_every_right': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_right_hate_every': 0.5, 'UNI_every': 0.5, 'BIGRAM_every_right': 0.5, 'BIGRAM_rt_radicalsketcher': 0.5, 'TRIGRAM_right_negative_ch…': 0.5, 'BIGRAM_negative_ch…': 0.5, 'UNI_negative': 0.5, 'BIGRAM_right_sad': 0.5, 'BIGRAM_right_angry': 0.5, 'UNI_radicalsketcher': 0.5, 'TRIGRAM_right_angry_every': 0.5, 'TRIGRAM_every_right_angry': 0.5, 'BIGRAM_sad_every': 0.5, 'UNI_sad': 0.5, 'TRIGRAM_rt_radicalsketcher_every': 0.5, 'BIGRAM_hate_every': 0.5, 'TRIGRAM_angry_every_right': 0.5, 'UNI_right': 0.5, 'TRIGRAM_right_sad_every': 0.5, 'BIGRAM_radicalsketcher_every': 0.5, 'BIGRAM_right_hate': 0.5, 'TRIGRAM_every_right_sad': 0.5, 'UNI_angry': 0.5, 'UNI_ch…': 0.5, 'BIGRAM_angry_every': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_every_right_hate': 0.5, 'TRIGRAM_radicalsketcher_every_right': 0.5, 'TRIGRAM_every_right_negative': 0.5, 'BIGRAM_right_negative': 0.5, 'TRIGRAM_sad_every_right': 0.5}
negative  	{'UNI_rt': 0.5, 'BIGRAM_people_turn': 0.5, 'BIGRAM_would_never': 0.5, 'UNI_seeing': 0.5, 'TRIGRAM_people_turn_something': 0.5, 'BIGRAM_said_would': 0.5, 'BIGRAM_something_said': 0.5, 'UNI_never': 0.5, 'BIGRAM_turn_something': 0.5, 'BIGRAM_ktjo98_hate': 0.5, 'BIGRAM_seeing_people': 0.5, 'UNI_would': 0.5, 'TRIGRAM_said_would_never': 0.5, 'UNI_people': 0.5, 'UNI_something': 0.5, 'UNI_turn': 0.5, 'TRIGRAM_seeing_people_turn': 0.5, 'TRIGRAM_rt_ktjo98_hate': 0.5, 'UNI_ktjo98': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_hate_seeing_people': 0.5, 'BIGRAM_rt_ktjo98': 0.5, 'UNI_said': 0.5, 'TRIGRAM_ktjo98_hate_seeing': 0.5, 'TRIGRAM_something_said_would': 0.5, 'TRIGRAM_turn_something_said': 0.5, 'BIGRAM_hate_seeing': 0.5}
negative  	{'BIGRAM_rt_myamocha_': 0.5, 'UNI_rt': 0.5, 'UNI_guys': 0.5, 'TRIGRAM_say_girls_hate': 0.5, 'UNI_//t.co/aqblohm5us': 0.5, 'BIGRAM_myamocha__10': 0.5, 'BIGRAM_https_//t.co/aqblohm5us': 0.5, 'TRIGRAM_guys_say_girls': 0.5, 'UNI_say': 0.5, 'TRIGRAM_myamocha__10_things': 0.5, 'UNI_10': 0.5, 'UNI_https': 0.5, 'UNI_things': 0.5, 'TRIGRAM_rt_myamocha__10': 0.5, 'BIGRAM_hate_https': 0.5, 'TRIGRAM_10_things_guys': 0.5, 'TRIGRAM_things_guys_say': 0.5, 'UNI_hate': 0.5, 'UNI_girls': 0.5, 'TRIGRAM_hate_https_//t.co/aqblohm5us': 0.5, 'BIGRAM_things_guys': 0.5, 'BIGRAM_10_things': 0.5, 'BIGRAM_girls_hate': 0.5, 'BIGRAM_say_girls': 0.5, 'UNI_myamocha_': 0.5, 'TRIGRAM_girls_hate_https': 0.5, 'BIGRAM_guys_say': 0.5}
negative  	{'UNI_rude': 0.5, 'BIGRAM_let_forget': 0.5, 'TRIGRAM_tbogg_yeah_kill': 0.5, 'TRIGRAM_yeah_kill_6': 0.5, 'BIGRAM_rt_tbogg': 0.5, 'TRIGRAM_6_million_jews': 0.5, 'BIGRAM_jews_people': 0.5, 'UNI_kill': 0.5, 'UNI_let': 0.5, 'TRIGRAM_rt_tbogg_yeah': 0.5, 'UNI_people': 0.5, 'TRIGRAM_kill_6_million': 0.5, 'TRIGRAM_million_jews_people': 0.5, 'BIGRAM_people_never': 0.5, 'BIGRAM_yeah_kill': 0.5, 'TRIGRAM_jews_people_never': 0.5, 'UNI_forget': 0.5, 'TRIGRAM_people_never_let': 0.5, 'BIGRAM_never_let': 0.5, 'UNI_rt': 0.5, 'UNI_million': 0.5, 'TRIGRAM_never_let_forget': 0.5, 'UNI_6': 0.5, 'BIGRAM_forget_rude': 0.5, 'UNI_tbogg': 0.5, 'BIGRAM_tbogg_yeah': 0.5, 'UNI_never': 0.5, 'UNI_yeah': 0.5, 'TRIGRAM_let_forget_rude': 0.5, 'UNI_jews': 0.5, 'BIGRAM_million_jews': 0.5, 'BIGRAM_6_million': 0.5, 'BIGRAM_kill_6': 0.5}
negative  	{'BIGRAM_https_//t.co/uh2vah6ocg': 0.5, 'UNI_//t.co/uh2vah6ocg': 0.5, 'UNI_https': 0.5}
negative  	{'TRIGRAM_easily_go_happy': 0.5, 'UNI_rt': 0.5, 'UNI_easily': 0.5, 'UNI_sad': 0.5, 'TRIGRAM_hate_easily_go': 0.5, 'TRIGRAM_go_happy_sad': 0.5, 'BIGRAM_go_happy': 0.5, 'UNI_go': 0.5, 'BIGRAM_hate_easily': 0.5, 'UNI_poeticallyiost': 0.5, 'BIGRAM_rt_poeticallyiost': 0.5, 'BIGRAM_poeticallyiost_hate': 0.5, 'BIGRAM_happy_sad': 0.5, 'BIGRAM_easily_go': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_rt_poeticallyiost_hate': 0.5, 'UNI_happy': 0.5, 'TRIGRAM_poeticallyiost_hate_easily': 0.5}
negative  	{'BIGRAM_extremists_carry': 0.5, 'TRIGRAM_robinson_co_done': 0.5, 'BIGRAM_white_extremists': 0.5, 'BIGRAM_rt_pingpongplayya': 0.5, 'BIGRAM_robinson_co': 0.5, 'TRIGRAM_speech_radicalize_white': 0.5, 'TRIGRAM_tommy_robinson_co': 0.5, 'TRIGRAM_radicalize_white_extremists': 0.5, 'TRIGRAM_co_done_inciting': 0.5, 'BIGRAM_hate_speech': 0.5, 'UNI_robinson': 0.5, 'BIGRAM_speech_radicalize': 0.5, 'UNI_done': 0.5, 'BIGRAM_tommy_robinson': 0.5, 'UNI_pingpongplayya': 0.5, 'TRIGRAM_rt_pingpongplayya_tommy': 0.5, 'UNI_extremists': 0.5, 'UNI_rt': 0.5, 'UNI_co': 0.5, 'UNI_thes…': 0.5, 'TRIGRAM_pingpongplayya_tommy_robinson': 0.5, 'UNI_radicalize': 0.5, 'TRIGRAM_hate_speech_radicalize': 0.5, 'TRIGRAM_done_inciting_hate': 0.5, 'TRIGRAM_white_extremists_carry': 0.5, 'TRIGRAM_extremists_carry_thes…': 0.5, 'UNI_white': 0.5, 'BIGRAM_co_done': 0.5, 'UNI_speech': 0.5, 'BIGRAM_carry_thes…': 0.5, 'UNI_inciting': 0.5, 'BIGRAM_done_inciting': 0.5, 'UNI_carry': 0.5, 'TRIGRAM_inciting_hate_speech': 0.5, 'BIGRAM_pingpongplayya_tommy': 0.5, 'BIGRAM_inciting_hate': 0.5, 'UNI_hate': 0.5, 'BIGRAM_radicalize_white': 0.5, 'UNI_tommy': 0.5}
negative  	{'UNI_ramadan': 0.5, 'UNI_rt': 0.5, 'UNI_mosque': 0.5, 'TRIGRAM_rt_rabiasquared_verified': 0.5, 'UNI_nigh…': 0.5, 'BIGRAM_verified_child': 0.5, 'UNI_verified': 0.5, 'TRIGRAM_rabiasquared_verified_child': 0.5, 'BIGRAM_muslims_nigh…': 0.5, 'BIGRAM_leaving_mosque': 0.5, 'BIGRAM_ramadan_muslims': 0.5, 'UNI_rabiasquared': 0.5, 'BIGRAM_child_killed': 0.5, 'UNI_child': 0.5, 'BIGRAM_rt_rabiasquared': 0.5, 'BIGRAM_rabiasquared_verified': 0.5, 'TRIGRAM_killed_leaving_mosque': 0.5, 'UNI_leaving': 0.5, 'BIGRAM_mosque_ramadan': 0.5, 'TRIGRAM_verified_child_killed': 0.5, 'TRIGRAM_child_killed_leaving': 0.5, 'UNI_muslims': 0.5, 'TRIGRAM_ramadan_muslims_nigh…': 0.5, 'TRIGRAM_leaving_mosque_ramadan': 0.5, 'UNI_killed': 0.5, 'BIGRAM_killed_leaving': 0.5, 'TRIGRAM_mosque_ramadan_muslims': 0.5}
negative  	{'TRIGRAM_starting_hate_job': 0.5, 'BIGRAM_hate_job': 0.5, 'BIGRAM_seriously_starting': 0.5, 'UNI_fml': 0.5, 'BIGRAM_job_fml': 0.5, "BIGRAM_'m_seriously": 0.5, "UNI_'m": 0.5, 'UNI_hate': 0.5, 'UNI_starting': 0.5, 'TRIGRAM_hate_job_fml': 0.5, 'UNI_seriously': 0.5, 'BIGRAM_starting_hate': 0.5, 'TRIGRAM_seriously_starting_hate': 0.5, 'UNI_job': 0.5, "TRIGRAM_'m_seriously_starting": 0.5}
